day	hour	value
1	1	1
1	2	0
1	3	0
1	4	1
1	5	0
1	6	0
1	7	2
1	8	1
1	9	1
1	10	1
1	11	0
1	12	0
1	13	2
1	14	1
1	15	1
1	16	1
1	17	0
1	18	3
1	19	1
1	20	3
1	21	3
1	22	4
1	23	4
1	24	1
2	1	0
2	2	2
2	3	0
2	4	0
2	5	0
2	6	1
2	7	0
2	8	0
2	9	1
2	10	3
2	11	0
2	12	2
2	13	0
2	14	3
2	15	2
2	16	3
2	17	4
2	18	1
2	19	0
2	20	7
2	21	17
2	22	3
2	23	3
2	24	2
3	1	4
3	2	0
3	3	0
3	4	0
3	5	1
3	6	0
3	7	0
3	8	0
3	9	1
3	10	1
3	11	1
3	12	0
3	13	0
3	14	5
3	15	2
3	16	4
3	17	0
3	18	1
3	19	1
3	20	2
3	21	5
3	22	4
3	23	4
3	24	3
4	1	1
4	2	0
4	3	0
4	4	0
4	5	1
4	6	0
4	7	1
4	8	0
4	9	2
4	10	1
4	11	1
4	12	3
4	13	6
4	14	4
4	15	2
4	16	10
4	17	5
4	18	2
4	19	6
4	20	4
4	21	2
4	22	9
4	23	5
4	24	2
5	1	2
5	2	1
5	3	0
5	4	0
5	5	1
5	6	1
5	7	0
5	8	1
5	9	0
5	10	2
5	11	0
5	12	0
5	13	1
5	14	1
5	15	3
5	16	3
5	17	4
5	18	0
5	19	3
5	20	3
5	21	1
5	22	2
5	23	4
5	24	3
6	1	2
6	2	0
6	3	0
6	4	0
6	5	1
6	6	0
6	7	0
6	8	0
6	9	1
6	10	0
6	11	0
6	12	0
6	13	0
6	14	1
6	15	2
6	16	1
6	17	1
6	18	0
6	19	2
6	20	1
6	21	1
6	22	3
6	23	8
6	24	7
7	1	0
7	2	0
7	3	2
7	4	0
7	5	0
7	6	6
7	7	0
7	8	4
7	9	1
7	10	0
7	11	0
7	12	1
7	13	1
7	14	1
7	15	1
7	16	1
7	17	10
7	18	3
7	19	2
7	20	2
7	21	2
7	22	2
7	23	5
7	24	0
